书名,评论,作者,推荐,出版社,日期,链接
笠翁对韵 全本 中华经典儿童启蒙 注音+注释+典故 每日诵读十分钟 打好国学基本功（超30万读者好评！）,363529条评论,(清) 李渔 著，高高国际 出品,99.8%推荐,中国文史出版社,2015-01-01,http://product.dangdang.com/23630257.html
我决定给自己一点时间（亚洲高人气作家“鸭子小姐”引进治愈作品，被韩国YES24书店读者评选为2020年“今年的书”第1名，韩国教保文库、YES24书店 一致满星好评）,37407条评论,（韩）李彦�� 著，书田文化 出品,100%推荐,四川人民出版社,2022-05-10,http://product.dangdang.com/29402629.html
海奥华预言中文版（米歇戴斯玛克特讲述地球人外星游记外观地球内视生命灵性预言性科幻小说作家出版社）,86944条评论,米歇・戴斯玛克特,100%推荐,作家出版社,2018-08-22,http://product.dangdang.com/25322131.html
第七天（2018版）,544409条评论,余华,99.8%推荐,新星出版社,2018-08-01,http://product.dangdang.com/25314250.html
小英雄雨来 童年 爱的教育 六年级上册快乐读书吧推荐阅读（中小学生课外阅读指导丛书）套装共3册,62676条评论,管桦，高尔基，亚米契斯，,100%推荐,南方出版社,2019-09-01,http://product.dangdang.com/28471088.html
社会心理学（第11版，中文平装版）（被译为12种语言，津巴多和彭凯平专文推荐，张泉灵的“工具书”，畅销100余万册）,291852条评论,戴维・迈尔斯著，新曲线 出品，侯玉波，乐国安，张智勇 等译,99.8%推荐,人民邮电出版社,2016-01-01,http://product.dangdang.com/23840740.html
没头脑和不高兴（注音版）（简单的故事，不简单的道理）,206535条评论,任溶溶原著 上海美术电影制片厂摄制,100%推荐,南方出版社,2017-10-01,http://product.dangdang.com/25060392.html
俗世奇人（全三册）冯骥才“俗世奇人系列”全部作品54篇入选中小学生阅读指导目录,405089条评论,冯骥才,99.9%推荐,作家出版社,2020-03-31,http://product.dangdang.com/28526002.html
悲惨世界（法国大文豪雨果“命运三部曲”之一，未删节全译版）,112033条评论,[法]维克多・雨果,99.9%推荐,作家出版社,2016-06-01,http://product.dangdang.com/23979386.html
幼儿学古诗（绘本版，全2册）,229948条评论,中国教育科学研究院学前教育研究中心,100%推荐,教育科学出版社有限公司,2019-08-08,http://product.dangdang.com/27941877.html
小羊上山儿童汉语分级读物第2级 幼小衔接学会自主识字阅读 幼儿启蒙早教书籍绘本（10册套装） 童趣出品【3-6岁】,70740条评论,孙蓓主编     童趣出版有限公司编,100%推荐,人民邮电出版社,2020-09-01,http://product.dangdang.com/29140216.html
下雨的书店（全4册）,113956条评论,（日）日向理惠子 著，（日）吉田尚令 绘，爱心树童书 出品,100%推荐,新星出版社,2021-08-01,http://product.dangdang.com/29271454.html
瓦尔登湖(珍藏本) 朗读者朗读书目,620898条评论,（美）梭罗    知书达礼  出品,99.7%推荐,中国三峡出版社,2010-12-01,http://product.dangdang.com/20971873.html
人类群星闪耀时（14个改变人类命运的天才，14个影响人类文明的瞬间！全新精装彩插导读详注版！）（读客经典文库）,153556条评论,(奥地利)茨威格 著；读客文化 出品,100%推荐,江苏凤凰文艺出版社,2019-04-01,http://product.dangdang.com/26919639.html
稻草人 格林童话 安徒生童话 小学生三年级上册快乐读书吧推荐阅读 全彩有声朗读 套装3册 三年级课外阅读,42189条评论,叶圣陶，(丹)安徒生，（德）格林兄弟,100%推荐,商务印书馆,2019-06-01,http://product.dangdang.com/27883696.html
放学后（东野圭吾成名作）,379814条评论,〔日〕东野圭吾 著，新经典 出品,100%推荐,南海出版公司,2017-09-01,http://product.dangdang.com/25154615.html
吹牛大王历险记（德国原版精美插图本，充满欢乐的百年童话，未删节全译，详细注释本）,198014条评论,〔德〕埃・拉斯伯〔德〕戈・毕尔格著， 邵灵侠译,100%推荐,浙江工商大学出版社,2017-12-01,http://product.dangdang.com/25190560.html
皮特猫・3~6岁好性格养成书：共四辑（套装1~4辑）（乐观、积极、开朗…荣获多项大奖的好性格榜样）新老版随机发货,574845条评论,詹姆斯・迪安等 著；读客文化 出品,100%推荐,文汇出版社,2018-08-17,http://product.dangdang.com/25323113.html
人生（茅盾文学奖得主路遥作品，电视剧《人生之路》原著，陈晓、李沁、张嘉倪主演。高加林一代青年冲开困境，去往人生新“路”。）,183570条评论,路遥  著 ，新经典  出品,100%推荐,北京十月文艺出版社,2021-07-01,http://product.dangdang.com/29267111.html
熊津数学图画书（全50册，含29册精装绘本及21册游戏书，将数学和故事、游戏相结合，使儿童在阅读的同时感受到生活处处有数学）,82525条评论,熊津出版社著，阳光博客出品,100%推荐,贵州科技出版社,2020-09-01,http://product.dangdang.com/29118088.html
人类群星闪耀时（姜乙译本，东方甄选、雷军、易中天诚意推荐）,90448条评论,斯蒂芬・茨威格，译者：姜乙， 果麦文化 出品,100%推荐,上海文艺出版社,2019-07-01,http://product.dangdang.com/27892638.html
寄小读者(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 13000多名读者热评！,198467条评论,冰心著,99.9%推荐,南方出版社,2021-06-01,http://product.dangdang.com/23181518.html
成年人的世界没有容易二字（专治“怕、不甘心、难”，助你早日丧尽天晴。百万畅销书作家老杨的猫头鹰新作）,53453条评论,老杨的猫头鹰，果麦文化 出品,100%推荐,江苏凤凰文艺出版社,2021-12-01,http://product.dangdang.com/29335604.html
非洲民间故事老人的智慧 快乐读书吧五年级上册课外阅读(中小学生课外阅读指导丛书)无障碍阅读彩插励志版 6万多名读者热评！,74770条评论,闻钟主编,100%推荐,南方出版社,2019-09-01,http://product.dangdang.com/27940824.html
中国古代神话 山海经 希腊神话故事四年级上册快乐读书吧配套阅读中小学生课外阅读指导丛书套装共3册10万多名读者热评！,114088条评论,闻钟主编,100%推荐,南方出版社,2019-06-01,http://product.dangdang.com/27907091.html
“歪脑袋”木头桩 二年级上册 小学生二年级快乐读书吧推荐阅读 全彩注音有声朗读 二年级课外阅读,51703条评论,严文井,100%推荐,商务印书馆,2019-06-01,http://product.dangdang.com/27883648.html
带壳的牡蛎是大人的心脏（当当专享签章版+作者亲绘贴纸。火爆全网现象级漫画，白茶、沈月、阮筠庭、文森特动物园推荐！）,297302条评论,拟泥nini 著绘  时代华语 出品,100%推荐,北京联合出版有限公司,2022-09-01,http://product.dangdang.com/29463437.html
遇见未知的自己：全新修订版,417249条评论,"张德芬 著,博集天卷 出品",99.9%推荐,湖南文艺出版社,2019-12-15,http://product.dangdang.com/28486644.html
思考，快与慢（团购电话400-106-6666转6）,324463条评论,(美)丹尼尔・卡尼曼,99.8%推荐,中信出版社,2012-07-01,http://product.dangdang.com/22781388.html
戴建业・漫画世说新语（听戴老师讲《世说新语》，看爆笑漫画，大笑品味“迷死人”的魏晋风度）,47841条评论,戴建业 编； 果麦文化 出品,100%推荐,浙江文艺出版社,2021-12-01,http://product.dangdang.com/29346437.html
歪歪兔行为习惯系列互动图画书（全10册）,247847条评论,歪歪兔关键期早教项目组　编绘,99.6%推荐,海豚出版社,2015-08-18,http://product.dangdang.com/20927266.html
数学帮帮忙（全25册+导读手册）超值礼盒装 （多功能数学绘本，清华附小公开课指定用书！小学数学学习）,346396条评论,（美）达芙妮・斯金纳,99.9%推荐,新蕾出版社,2019-12-01,http://product.dangdang.com/28480229.html
蝴蝶・豌豆花,332311条评论,金波，冰心 著，王晓明，蔡皋，周翔 绘,99.9%推荐,河北教育出版社,2010-04-01,http://product.dangdang.com/28469479.html
好好说话：非暴力沟通幼儿版 [3-6岁],58857条评论,[西]克里斯蒂娜・特巴尔 著 [西]马尔・费雷罗 绘 何倩 译 人天兀鲁思 出品,100%推荐,太白文艺出版社,2020-11-01,http://product.dangdang.com/29159683.html
2021新版 点点点（小黄和小蓝升级版）宝宝视觉锻炼 杜莱大师作品 0-2 3-6岁幼儿启蒙绘本 早教书 [0-2岁],168247条评论,[法]埃尔维・杜莱,100%推荐,海豚出版社,2021-03-01,http://product.dangdang.com/29193831.html
养育女孩（新版）,535138条评论,[澳]史蒂夫・比达尔夫,99.9%推荐,中信出版社,2020-03-23,http://product.dangdang.com/28520581.html
自驱型成长：如何科学有效地培养孩子的自律,140022条评论,[美]威廉?斯蒂克斯鲁德（William Stixrud）奈德?约翰逊（Ned Johnson）、叶壮 译,100%推荐,机械工业出版社,2020-05-15,http://product.dangdang.com/28547325.html
蛙（茅盾文学奖获奖作品，诺奖得主莫言畅销不衰的代表作；书写计划生育时代的大爱之书）,160237条评论,莫言,100%推荐,浙江文艺出版社,2020-03-01,http://product.dangdang.com/28531228.html
西游记（上下册）七年级上 名著阅读课程化丛书 导读版 人民教育出版社,168121条评论,（明）吴承恩 著,100%推荐,人民教育出版社,2017-07-01,http://product.dangdang.com/25141585.html
许渊冲：美得窒息的唐诗宋词诗经3册套装（中英双语诗画集）,76028条评论,陆苏、闫红、吴俣阳 著；许渊冲 译   时代华语,100%推荐,长江文艺出版社,2020-04-01,http://product.dangdang.com/28528100.html
显微镜下的大明（张若昀、王阳、戚薇、吴刚主演同名影视剧原著，全新明朝历史书）,219725条评论,"马伯庸 著,博集天卷 出品",100%推荐,湖南文艺出版社,2019-01-01,http://product.dangdang.com/26439969.html
猎人笔记 七年级上册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 13万多名读者热评！,140192条评论,（俄罗斯）屠格涅夫,100%推荐,南方出版社,2017-12-01,http://product.dangdang.com/25217316.html
新版林格伦作品选集・美绘版 长袜子皮皮,611791条评论,阿斯特丽德・林格伦  著 英格丽德・万・尼曼 画,99.9%推荐,中国少年儿童出版社,2018-03-01,http://product.dangdang.com/25235015.html
人生只有一件事:教你如何活得更好,81193条评论,金惟纯,100%推荐,中信出版社,2021-05-13,http://product.dangdang.com/29235725.html
斯凯瑞金色童书・忙忙碌碌的一天（全3册）,290285条评论,（美）斯凯瑞,99.4%推荐,贵州人民出版社,2007-10-01,http://product.dangdang.com/20039610.html
极简学习法（考试高分的秘密，上百位清北学霸学习方法大公开）,44144条评论,廖恒 著  时代华语 出品,100%推荐,北京联合出版有限公司,2022-04-01,http://product.dangdang.com/29389443.html
七色花 全彩注音 小学二年级下册 快乐读书吧 推荐阅读（有声朗读）小学课外阅读,48803条评论,瓦 卡达耶夫等,100%推荐,商务印书馆,2020-02-01,http://product.dangdang.com/28516608.html
别想太多啦：在复杂的世界里，做一个简单的人（情绪疗愈指南，随手翻开，就能获得舍离烦恼的勇气。）,122557条评论,[日]名取芳彦 著，紫图出品,100%推荐,天津人民出版社,2021-03-01,http://product.dangdang.com/29201117.html
海蒂（又译《小海蒂》，瑞士经典童话，汲取人性光辉，给孩子温馨与爱的教育。手绘精美插图）,38743条评论,（瑞士）约翰娜・斯比丽 著；朱碧恒 译；小当当童书馆 出品,100%推荐,辽宁少年儿童出版社,2019-09-09,http://product.dangdang.com/27941676.html
"西西弗神话（诺贝尔文学奖得主,加缪的荒诞哲学代表作)",48191条评论,（法）阿尔贝・加缪著，李玉民译，知书达礼 出品,100%推荐,民主与建设出版社,2020-09-01,http://product.dangdang.com/29134555.html
夜晚的潜水艇(第四届宝珀理想国文学奖得主陈春成短篇小说集，游荡于旧山河与未知宇宙间，汉语的一种风度与可能性),130902条评论,陈春成 著，理想国 出品,100%推荐,上海三联书店,2020-09-01,http://product.dangdang.com/29130324.html
怪诞行为学：可预测的非理性,98363条评论,【美】丹・艾瑞里（Dan Ariely）,100%推荐,中信出版社,2017-12-01,http://product.dangdang.com/25198506.html
皮特猫・3~6岁好性格养成书：第二辑（共6册）（自信、豁达、友善…荣获多项大奖的好性格榜样）新老版随机发货,400976条评论,(美）金柏莉・迪安与詹姆斯・迪安著； 读客文化 出品,100%推荐,文汇出版社,2018-06-03,http://product.dangdang.com/25280799.html
梁实秋：为这人间操碎了心（一本解闷宝书，文学泰斗梁实秋趣味散文选，创作100周年纪念版）,86483条评论,梁实秋 著  时代华语 出品,100%推荐,中国友谊出版公司,2020-10-01,http://product.dangdang.com/29129870.html
钢铁是怎样炼成的(语文教材“名著导读”经典・八年级下。大语文理念打造：思维导图+详细注释+知识拓展+彩色插图),62391条评论,（苏）奥斯特洛夫斯基 著 周露 译,100%推荐,时代文艺出版社,2020-04-21,http://product.dangdang.com/28535532.html
米小圈脑筋急转弯（第二辑）(套装共4册）,169825条评论,北猫,100%推荐,四川少儿出版社,2020-06-01,http://product.dangdang.com/28552328.html
抱抱（0-3岁） 信谊世界精选图画书,111397条评论,作绘者：[英]杰兹・阿波罗,100%推荐,明天出版社,2017-11-01,http://product.dangdang.com/29122988.html
郑渊洁四大名传（全4册，含《罐头小人》电影情节）,311101条评论,郑渊洁,99.4%推荐,浙江少年儿童出版社,2015-12-01,http://product.dangdang.com/29212910.html
罗生门（芥川龙之介小说集。《人间失格》作者太宰治是芥川的头号书迷）,57644条评论,［日］芥川龙之介 著，高慧勤 译,99.8%推荐,时代文艺出版社,2017-12-01,http://product.dangdang.com/29329641.html
365夜睡前故事（全4册） 宝宝睡前故事书0-3-6岁幼儿故事书早教配图 婴儿绘本书籍 [0-6岁],112852条评论,青葫芦,100%推荐,福建科技出版社,2018-01-01,http://product.dangdang.com/27856105.html
捕捉儿童敏感期 孙瑞雪 （精装珍藏版）,359206条评论,孙瑞雪,99.9%推荐,中国妇女出版社,2013-04-01,http://product.dangdang.com/23194043.html
大头儿子和小头爸爸 二年级下册 语文教科书配套书目 人教版快乐读书吧,127795条评论,曹文轩 陈先云 主编,100%推荐,人民教育出版社,2018-12-01,http://product.dangdang.com/28512136.html
他和她的猫（“唧唧的猫”甜蜜电竞题材作品）,113898条评论,唧唧的猫著，鲤伴出品，有容书邦发行,100%推荐,江苏凤凰文艺出版社,2018-07-01,http://product.dangdang.com/25299059.html
米小圈上学记四年级（套装共4册）,355733条评论,北猫,100%推荐,四川少年儿童出版社,2018-04-01,http://product.dangdang.com/25261326.html
外婆出租中,94614条评论,"[英]丽芙・阿巴思诺特 ,周唯 译,酷威文化 出品",100%推荐,四川文艺出版社,2021-07-01,http://product.dangdang.com/29276874.html
地球的故事 快乐读书吧 四年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 7万多名读者热评！,118520条评论,（美）房龙,100%推荐,南方出版社,2018-10-01,http://product.dangdang.com/26440479.html
半小时漫画三国演义（三更半夜笑出鹅叫，三国典故打死忘不掉！桃园结义、三顾茅庐、草船借箭，三国故事全收录！）,50549条评论,陈磊・半小时漫画团队；读客文化 出品,100%推荐,河南文艺出版社,2021-10-15,http://product.dangdang.com/29313358.html
向上生长（九边作品。让选择变得精准，让机遇不再错失。 悉数解决人生困惑问题，实现向上生长。）,170822条评论,九边 著；书田文化出品，有容书邦发行,100%推荐,贵州人民出版社,2020-05-06,http://product.dangdang.com/28544504.html
时间简史（插图本）（央视《朗读者》推荐）,716025条评论,史蒂芬・霍金,99.6%推荐,湖南科技出版社,2014-06-01,http://product.dangdang.com/463785.html
儒林外史 九年级下册推荐阅读 (《语文》推荐阅读丛书 人民文学出版社),168010条评论,吴敬梓,100%推荐,人民文学出版社,2018-06-01,http://product.dangdang.com/25283730.html
中国国家地理精华 图说天下 国家地理,71582条评论,<图说天下.国家地理系列>编委会,99.9%推荐,北京联合出版公司,2012-06-01,http://product.dangdang.com/22790527.html
神笔马良（小学语文“快乐读书吧”二年级下阅读。生词、疑难点增加注音注释，阅读无障碍）,111011条评论,洪汛涛,100%推荐,浙江工商大学出版社,2018-01-01,http://product.dangdang.com/25203392.html
局外人（加缪作品）,138374条评论,[法]阿尔贝・加缪著 柳鸣九译,99.9%推荐,上海译文出版社,2013-08-01,http://product.dangdang.com/23323974.html
神奇校车・动画版（全10册）,555993条评论,"乔安娜柯尔 著,布鲁斯迪根 绘",99.8%推荐,贵州人民出版社,2011-04-05,http://product.dangdang.com/25243206.html
我喜欢生命本来的样子(周国平经典散文作品集),706276条评论,周国平,99.9%推荐,作家出版社,2017-02-01,http://product.dangdang.com/24198400.html
把妈妈的话装进耳朵里,158793条评论,(西) 玛尔塔・帕拉雷斯著 ; (西) 安 娜・格里马尔绘 ; 吴荷佳译  100层童书馆 出品,100%推荐,北京科学技术出版社,2019-04-01,http://product.dangdang.com/27853164.html
金字塔原理大全集（共2册）（思考表达和解决问题的逻辑，“抖音同款”麦肯锡40年经典培训教材）,130580条评论,芭芭拉 ・ 明托  著  ， 新经典  出品,100%推荐,南海出版社,2019-07-01,http://product.dangdang.com/27891506.html
米小圈漫画成语（第一辑）（套装共5册）,528809条评论,北猫,100%推荐,四川少年儿童出版社,2020-01-01,http://product.dangdang.com/28519113.html
一句顶一万句（一本让“中国脱口秀扛把子”李诞连声叫绝的茅奖好书，当当专享印签本）,257325条评论,刘震云，长江新世纪 出品,99.8%推荐,花城出版社,2022-08-01,http://product.dangdang.com/29437347.html
米小圈上学记三年级（套装共4册）,373793条评论,北猫,100%推荐,四川少年儿童出版社,2018-04-01,http://product.dangdang.com/25261324.html
焦虑的人（九个焦虑的人，一场人质劫持，能解救他们的不是警察，而是彼此。《外婆的道歉信》《清单人生》巴克曼拿手的暖心治愈故事）,65722条评论,弗雷德里克・巴克曼，果麦文化 出品,100%推荐,天津人民出版社,2021-08-01,http://product.dangdang.com/29284134.html
爷爷的爷爷哪里来：人类起源的演化过程 快乐读书吧四年级下册课外课外阅读 中小学生课外阅读指导丛书无障碍阅读彩插励志版 13万多读者热评,147627条评论,贾兰坡,100%推荐,南方出版社,2021-06-01,http://product.dangdang.com/24040248.html
人间词话（小嘉抖音推荐，叶嘉莹讲评本，诗词大家叶嘉莹逐条讲透、点评王国维诗词美学经典，读懂人生三境界）,72278条评论,王国维，讲评 叶嘉莹，果麦文化 出品,100%推荐,万卷出版公司,2021-10-01,http://product.dangdang.com/29305645.html
大中华寻宝系列28 黑龙江寻宝记,49686条评论,孙家裕,100%推荐,二十一世纪出版社,2021-07-01,http://product.dangdang.com/29277803.html
伊索寓言（小学语文“快乐读书吧”三年级下阅读。按人的基本价值观分卷，更有主题词+格言警句+精美插图+寓意点评）,115293条评论,〔古希腊〕伊索 著；  杨海英 译。,100%推荐,浙江工商大学出版社,2017-08-01,http://product.dangdang.com/25126129.html
我的情绪小怪兽,91732条评论,"[西]安娜・耶纳斯/著,萧袤 王靖雯/译",100%推荐,陕西人民教育出版社,2016-09-08,http://product.dangdang.com/27940556.html
给男孩的情绪管理绘本（套装全5册）,65927条评论,乐凡 段张取艺,99.9%推荐,青岛出版社,2021-03-01,http://product.dangdang.com/29206161.html
杨绛传：简朴的生活，高贵的灵魂（杨绛先生诞辰110周年纪念版）,51569条评论,梅子 著 知书达礼 出品,100%推荐,民主与建设出版社,2020-06-01,http://product.dangdang.com/28555728.html
我爱天下一切狗 季羡林散文集（爱尽万物，自在不言。）,75076条评论,季羡林 著，文通天下 出品,100%推荐,光明日报出版社,2020-06-01,http://product.dangdang.com/28964398.html
和大人一起读（全4册）小学生一年级上册快乐读书吧推荐阅读书目 全彩注音有声朗读 小学课外阅读,47619条评论,樊发稼编选，朱永新主编，,100%推荐,商务印书馆,2020-06-01,http://product.dangdang.com/28972645.html
大话西方艺术史（句句有梗的极简艺术史！艺术自媒体意外艺术，八年积累诚意之作！轻松入门，提高审美）,65077条评论,意公子 著；读客文化 出品,99.9%推荐,海南出版社,2020-02-14,http://product.dangdang.com/28516328.html
秘密花园（深受孩子们喜欢的经典童话，翻译文化终身成就奖获得者李文俊倾情翻译）,171312条评论,"[美]弗朗西丝・霍奇森・伯内特 著, 李文俊 译",100%推荐,北京联合出版公司,2016-11-01,http://product.dangdang.com/24041685.html
西游记 ( 青少版，依据原著改写成现代白话文，适合小学高年级和初中生阅读),169199条评论,（明）吴承恩 著；张燕均，富强 改编,99.8%推荐,浙江教育出版社,2016-01-01,http://product.dangdang.com/23845428.html
四大名著 生僻字注音+注释+注解 插图青少版 9-15岁孩子更易读懂 三国演义 红楼梦 水浒传 西游记,159271条评论,（清）曹雪芹、（明）吴承恩、（明）罗贯中、（明）施耐庵 著，高高国际 出品,99.9%推荐,民主与建设出版社,2017-08-01,http://product.dangdang.com/25111286.html
小鲤鱼跳龙门 二年级上册 小学生二年级快乐读书吧推荐阅读 全彩注音有声朗读 二年级课外阅读,51859条评论,金近,100%推荐,商务印书馆,2019-06-01,http://product.dangdang.com/27883644.html
飘（上下） 世界名著典藏,179070条评论,（美）米切尔 著，黄健人 译 万亭文化 出品,99.8%推荐,中央编译出版社,2015-02-01,http://product.dangdang.com/23671032.html
资治通鉴少年简读版(套装全4册）附赠音频，扫码畅听！四册盒装，精华简读；史家打造，全彩插图！,114339条评论,何孝荣 侯振龙,99.9%推荐,青岛出版社,2019-05-01,http://product.dangdang.com/27868330.html
原声触摸发声书：听，什么声音（套装全6册）,298855条评论,"YOYO出版社 著绘,步步联盟 译",99.9%推荐,开明出版社,2020-01-01,http://product.dangdang.com/25214219.html
哈利・波特与魔法石 (平装)（《语文》教材推荐阅读书目，外国儿童文学经典，新英国版封面平装版）,366369条评论,（英）J.K.罗琳,99.9%推荐,人民文学出版社,2018-11-01,http://product.dangdang.com/25479421.html
穿过地平线 又名:看看我们的地球 快乐读书吧 四年级下册课外阅读(中小学生课外阅读指导丛书)无障碍阅读 近8万读者热评！,127651条评论,李四光著,100%推荐,南方出版社,2019-12-01,http://product.dangdang.com/28504960.html
如果历史是一群喵1-9全集（套装共9册）,51459条评论,肥志著 漫友文化出品,99.9%推荐,广东旅游出版社,2021-10-01,http://product.dangdang.com/29325172.html
乡土中国 高中“读整本书”推荐阅读 费孝通著作（名著阅读课程化丛书）,68965条评论,费孝通,100%推荐,南方出版社,2020-07-01,http://product.dangdang.com/28993641.html
拉封丹寓言 快乐读书吧 三年级下册课外阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 5万多读者热评！,99470条评论,（法）让 德 拉封丹,100%推荐,南方出版社,2018-10-01,http://product.dangdang.com/26440480.html
